Iteration,UserSide1_ns,BankSide_ns,UserSide2_ns
648,350755,393504,456518
649,353035,382940,454572
650,358195,386035,504153
651,373076,403901,466898
652,362114,394406,472099
653,359477,394511,470430
654,353054,395204,472286
655,472269,486644,518403
656,473225,536182,465021
657,353680,387878,484929
658,362716,391458,455258
659,357304,390822,459955
660,362655,396404,472885
661,358098,390315,464411
662,359407,430532,449327
663,362010,380264,457227
664,351076,384144,453582
665,348665,391246,451087
666,344054,394367,481169
667,358099,377998,447422
668,442180,393870,460025
669,351190,380848,471100
670,353252,392972,454564
671,359485,373828,454078
672,345954,376642,469664
673,346027,372313,453727
674,357910,386262,464593
675,380793,383172,464164
676,351661,382575,453258
677,362796,385517,456661
678,353208,386636,464652
679,361978,399050,475346
680,370481,388888,454687
681,354875,385358,469437
682,361202,382455,470810
683,377813,391519,457793
684,355825,395284,456819
685,401594,409989,466599
686,358524,397976,497401
687,360019,390789,467871
688,360804,397171,462314
689,352236,398226,460897
690,354706,383392,480432
691,361551,403437,465091
692,351072,400135,465429
693,350895,382741,459091
694,360449,391722,467589
695,354491,393103,458024
696,349942,383886,462513
697,356790,383347,454075
698,347913,382203,470460
699,355178,399466,468099
700,365129,383462,459784
701,355007,393141,458764
702,349582,382693,460444
703,349508,382247,452231
704,346436,384529,454909
705,355596,381532,460701
706,367331,387023,458998
707,359103,392932,480112
708,381313,385625,461893
709,364834,388333,480749
710,358664,413717,467628
711,360063,416872,463619
712,367147,389890,466268
713,346442,374390,477097
714,347744,381650,456439
715,360512,383410,466102
716,355635,383079,464313
717,349552,378954,494632
718,369328,391930,463845
719,364345,380196,460532
720,352517,382175,463871
721,358634,390456,458582
722,373266,395583,470403
723,365650,424239,459528
724,357056,395847,456899
725,358466,393322,453600
726,355703,393476,466903
727,353150,387626,470114
728,362703,414132,460804
729,355369,387941,464431
730,359181,387588,455555
731,358448,395431,465821
732,350429,391693,483444
733,351885,393704,470245
734,371166,453404,469191
735,353192,385331,476516
736,350676,376824,456074
737,352531,391188,459893
738,360080,380846,471624
739,356117,392536,450605
740,348948,390980,467663
741,350609,378079,455081
742,345768,378855,456724
743,345884,389337,468460
744,360168,385915,463771
745,347243,384235,449614
746,345865,465183,520510
747,362588,420368,485470
748,370785,402367,478598
749,370825,392879,469934
750,366364,397869,469449
751,356676,382276,461871
752,373887,394284,463429
