Iteration,UserSide1_ns,BankSide_ns,UserSide2_ns
597,294997,328313,436049
598,293219,371957,428241
599,308715,333097,429321
600,305057,324776,437221
601,291296,327420,437160
602,317274,327786,426501
603,313835,320595,435306
604,305148,334799,435689
605,297889,338525,425598
606,374792,338902,428263
607,294714,324406,438704
608,297937,321664,431317
609,296412,335118,426902
610,294914,337016,424593
611,309588,335623,439281
612,292438,322483,430636
613,295251,330364,439732
614,306785,336960,430122
615,303453,333814,430275
616,309137,333426,430039
617,290526,321838,429143
618,292650,323098,487843
619,303123,336726,437495
620,313498,327981,431495
621,303162,330423,434570
622,294144,323739,441292
623,296627,380184,433325
624,295735,334915,419950
625,299159,321338,428226
626,298360,330700,436995
627,296297,326593,433667
628,298135,347415,462620
629,309612,337349,436812
630,315150,331932,425100
631,304483,325797,447624
632,303169,320588,442401
633,293400,320970,434657
634,299902,325981,430872
635,292787,338732,431487
636,307021,325326,423958
637,301182,343188,438412
638,293511,320601,428105
639,291152,333849,426417
640,291770,339666,421350
641,305212,324679,422124
642,293602,323181,429746
643,294087,327497,591437
644,309243,326053,418697
645,301095,346343,428981
646,291769,317049,431679
647,297494,328286,427646
648,309281,338359,425961
649,298341,330801,437399
650,293367,329896,419281
651,289849,323987,435934
652,292224,323241,431801
653,304028,327499,424573
654,296909,343216,421840
655,296648,328011,436424
656,309125,333783,453332
657,317921,329006,427259
658,331356,321518,424799
659,287991,335111,424556
660,294198,324868,619762
661,483822,535303,469439
662,310268,353687,426916
663,303428,330295,424115
664,298135,326710,434237
665,301134,325738,428278
666,291763,337943,423246
667,296279,324598,435209
668,293769,325859,422780
669,302049,327014,425654
670,316201,322286,428845
671,315392,335685,428788
672,307941,338991,434205
673,293710,324490,481316
674,350173,436710,599395
675,408927,354162,453122
676,312081,354133,436142
677,315314,331690,445214
678,299514,342339,471472
679,309701,331329,443367
680,295499,349442,427153
681,342417,333142,438013
682,317096,333592,447172
683,300753,331463,441217
684,301578,343412,435029
685,297302,345133,434517
686,305605,343371,431125
687,348941,468430,429591
688,295211,326644,446252
689,300411,330428,425827
690,294650,332087,442145
691,308178,334194,434275
692,311059,331731,422437
693,291458,328535,446565
694,309963,349339,425698
695,299461,347431,449254
696,339136,337506,433971
697,298765,330743,426862
698,305605,334267,433611
699,302739,329886,428826
700,294197,393914,468851
701,294785,326686,431982
702,315274,353079,432102
703,292379,325975,439145
704,303961,336566,423335
705,290449,335445,430974
706,296376,334059,448322
707,305943,334817,430218
708,314767,345086,423949
709,293794,324738,440345
710,296567,320744,421935
711,309158,333490,438354
712,300448,327871,438996
713,316664,320396,429227
714,377366,377296,424797
715,293081,340330,452318
716,291748,329658,429887
717,297660,340498,439859
718,307764,333868,426242
719,300449,336994,440084
720,297604,354235,431573
721,302611,333886,441420
722,290270,339894,431940
723,300621,345286,440180
724,305145,324128,428755
725,296365,321901,416707
726,294102,363515,426019
727,294392,328573,441067
728,296478,332126,421640
729,301829,343543,434417
730,296673,327594,420782
731,307797,339707,444170
732,291196,338517,435440
733,297233,326077,425178
734,293943,337490,429746
735,294769,325625,416304
736,310554,337179,420444
737,294088,326849,449264
738,297486,330683,426212
739,296145,327589,424022
740,302239,346805,436155
741,293951,324226,434039
742,289539,321657,423730
743,294029,336719,422475
744,305103,340913,427570
745,303692,327803,444155
746,304210,325706,430049
747,297454,351195,426342
748,310558,329959,422343
749,290483,334521,438115
750,307109,330689,424620
751,307449,339870,430664
752,304028,317838,434832
753,292294,328100,423473
754,291961,335943,425674
755,293348,330419,427906
756,313105,336719,417153
757,285360,321456,439002
758,297773,335432,427854
759,296695,329737,413798
760,294064,325138,422847
761,307311,342624,441486
762,303255,341779,428373
763,288981,320872,413958
764,306496,333717,434784
765,293198,332656,438479
766,299408,343213,434810
767,308472,325392,423518
768,297701,326397,437910
769,297136,333662,425500
770,313962,340774,430346
771,308728,338618,452855
772,297712,328407,429429
773,305418,333602,432819
774,294896,321942,436624
