Iteration,Payee1_ns,Payer_ns,Payee2_ns
458,1893574,4602676,2500990
459,1944528,4493302,2508350
460,1945471,4482510,2455856
461,1956353,4388732,2515186
462,1990460,4402570,2441814
463,1916806,4732022,2576043
464,1994087,4636019,2485245
465,2089932,4429199,2494249
466,1907226,4545044,2422172
467,1959650,4436168,2443651
468,1941691,4425804,2590221
469,1971218,4415464,2483678
470,1923889,4376569,2485079
471,2165357,4586649,2521847
472,2006431,4443298,2512562
473,1957812,4456730,2449518
474,1982729,4462998,2457558
475,1908425,4364892,2423441
476,1968494,4483490,2568783
477,1890426,4305480,2443441
478,1972158,4383717,2553085
479,1944376,4501847,2527023
480,2045740,4403399,2413051
481,1974920,4517288,2594652
482,1949352,4449033,2516152
483,1930228,4475426,2463731
484,1927925,4448584,2397330
485,1923545,4633519,2496556
486,1972741,4414264,2427382
487,1919540,4510815,2449277
488,1887716,4361333,2430627
489,2072891,4512079,2483725
490,1989762,4487832,2485878
491,1946852,4445988,2400301
492,1986670,4448170,2571284
493,1951639,4446217,2493820
494,1919373,5013850,2554935
495,2015642,4454983,2480179
496,1968799,4476838,2590765
497,1951143,4393277,2482370
498,2070999,4574585,2469639
499,1972795,4389600,2435727
500,1942751,4403908,2403552
501,1928948,4436366,2425157
502,1997753,4441074,2448452
503,1975035,4534278,2459988
504,1968630,4444330,2502355
505,2024204,4448882,2448404
506,1972611,4398090,2450957
507,2190410,4378745,2473723
508,1942767,4505538,2563555
509,2025184,4522061,2508461
510,1981005,4453506,2448527
511,1935377,4452094,2464503
512,1940890,4451901,2478060
513,1943839,4405991,2412943
514,1922000,4431731,2443227
515,1948600,4438962,2491756
516,1978183,4394771,2434841
517,1977109,4465318,2522695
518,1945701,4389209,2437125
519,1936228,4373272,2448216
520,1938872,4362617,2429016
521,1936644,4392865,2438341
522,1960421,4556847,2486795
523,1961117,4479020,2646364
524,1964577,4441529,2473685
525,1935561,4408238,2470971
526,1930416,4406260,2436262
527,1943161,4429690,2454441
528,1947620,4377471,2475206
529,1917575,4400234,2462837
530,1942440,4698110,2496809
531,1939908,4384478,2487967
532,1943175,4573923,2470721
533,1929712,4403605,2493561
534,2032933,4518675,2478460
535,1975604,4619477,2454291
536,1931895,4546292,2466346
537,1964289,4413805,2428385
538,1943517,4447399,2443383
539,1921711,4438132,2484034
540,1958313,4536832,2468593
541,1981556,4327929,2438722
542,1928567,4554522,2454474
543,1961508,4473039,2537227
544,2243080,4412862,2418344
545,1959945,4386347,2396402
546,1909616,4367468,2434181
547,1945352,4501443,2442146
548,1922386,4481479,2470108
549,1952335,4376206,2463282
550,1975424,4436543,2474658
551,1927768,4344788,2438638
552,1939203,4463739,2402369
553,1928272,4405004,2468033
554,1913732,4437454,2446407
555,1912892,4345725,2441189
556,1952246,4375081,2410299
557,1955919,4448660,2465741
558,1941222,4416393,2431556
559,1945768,4427482,2420448
560,1895590,4382623,2495822
561,1943499,4510081,2490949
562,1932429,4521845,2410794
563,1998630,4420036,2513578
564,1956766,4459384,2476504
565,1926017,4405440,2406394
566,2128124,4377189,2449743
567,1979854,4428909,2700430
568,1902690,4329961,2445360
569,1926652,4458678,2446608
570,1915148,4391354,2397687
571,2002465,4349701,2424521
572,1931500,4342979,2418488
573,1920803,4376558,2516919
574,1907865,4354688,2469364
575,2000336,4370814,2439642
576,1968298,4340112,2465508
577,1970094,4362479,2424913
578,1941118,4329889,2488887
579,1889456,4414995,2483068
580,1942107,4392932,2390844
