Iteration,Payee1_ns,Bank1_ns,Payee2_ns,Bank2_ns,Payee3_ns,Bank3_ns
230,2529018,6155966,629132,635428,726829,7816049
231,2518587,6290072,613568,637981,716901,4484233
232,2614420,6076571,609198,636953,702225,4414493
233,2764233,6227464,622539,652630,710600,4518555
234,2678406,6225191,626203,693015,711406,4519384
235,2488077,6175406,607870,639253,723560,4510792
236,2568237,6150779,624413,671911,712367,4454592
237,2568800,6354875,637338,641495,718001,4850792
238,2561445,6183731,727683,634490,722633,4666156
239,2619007,6272580,608644,624849,812167,4618722
240,2573281,6276469,617211,721280,721181,4361104
241,2588189,6331942,634900,640500,716714,4719635
242,2509095,6343922,615362,636719,719767,4513452
243,2611237,6294809,628559,637736,723966,4466175
244,2499334,6371379,622936,660472,740506,4698701
245,2556884,6391311,637365,656869,731596,4391257
246,2538719,6383067,615882,646849,724140,4549728
247,2522395,6250402,627042,670615,714332,4475703
248,2493365,6248025,711711,631166,723091,4793877
249,2638700,6273257,611120,630523,737028,4497334
250,2644740,6276294,622817,644087,712403,4419524
251,2601737,6249608,628691,661163,727893,4615453
252,2590138,6123323,633277,636613,730851,4713058
253,2648809,6235587,606088,649365,727000,4488015
254,2631661,6345967,611557,640437,739399,4982793
255,2532674,6302015,614341,634053,712244,5020290
256,2556851,6134904,634336,773231,724841,4610858
257,2500830,6211462,708311,666423,747186,4398294
258,2520967,6452975,713674,638378,721698,4541749
259,2552131,6237103,607081,638613,733366,4468099
260,2550830,6205685,611129,630446,739756,4220690
261,2527278,6418376,615760,663270,728987,4843156
262,2604207,6315758,643572,656927,744902,4662002
263,2571472,6265382,621153,635732,738369,4651501
264,2575983,6256130,637094,643156,733945,4868655
265,2637643,6249954,628988,655564,751100,4494683
266,2634450,6335812,606880,653165,738599,5087060
267,2607213,6302803,653751,635391,705693,4869771
268,2541862,6434414,645424,665896,730189,7090984
269,2578141,6333776,740268,677729,776470,4982667
270,2574633,6310619,631952,628597,704043,4599845
271,2558653,6265053,647435,634306,734404,4724900
272,2511811,6298806,612249,636047,718622,4498262
273,2555699,6227707,639383,639274,722099,4612650
274,2530012,6232965,637320,645798,726778,4687008
275,2650233,6454460,633429,639433,733493,4944947
276,2578212,6595945,652711,769419,718677,4915877
277,2539043,6193812,617240,655665,711891,4853237
278,2609586,6302200,616837,634903,720922,4879806
279,2598057,6242620,634090,645779,723676,4801543
280,2949996,6247365,628981,644555,736508,4788640
281,2543655,6257419,720966,685630,794616,4722964
282,2624181,6234982,623826,624421,733536,4827423
283,2586615,6211400,619403,645931,723075,4507286
284,2572644,6255488,641161,642598,751257,4609555
285,2761516,6360925,629750,632274,720323,4756628
286,2593469,6233852,636003,647138,733876,4775443
287,2526353,6285875,608134,631517,741311,5211040
288,2613057,6252602,631494,633938,716894,7078038
289,3563871,6428252,623926,649299,734162,5676440
290,2680870,6299094,645298,658690,734264,4877413
291,2568124,6200517,620692,635180,721580,6512651
292,2568324,6553754,668538,675776,701270,4677843
293,2747925,6335261,619546,640744,739804,5077367
294,2763492,6353165,633590,666832,737918,4779651
295,2617378,6365921,627872,652863,756739,4727670
296,2663684,6457003,630811,651657,736131,5231954
297,2572199,6255496,610882,623509,724824,4745501
298,2712134,6323979,621516,656318,737777,4801151
299,2594682,6953610,629092,647873,729994,4891218
300,2599939,6659670,645231,670993,733884,4844870
301,2636194,6671020,620581,637123,723351,5123663
302,2698010,6516015,611164,635712,722652,5196108
303,2622464,6488217,624401,636630,755958,5712015
304,2728129,6365463,632182,680336,735001,5166454
305,2549327,6242910,628612,636549,729454,5301365
306,2608410,6183606,608785,652942,729515,5021377
307,2546570,6347701,618417,636711,717870,4918021
308,3482666,6324550,623674,657649,716360,4757918
309,2540473,6328339,627814,658700,727898,4839089
310,2522841,6277035,635580,639947,731556,5001528
311,2619842,6204639,616343,669222,848199,4838408
312,2620477,6219625,626304,659191,753654,4938494
313,2568816,6312822,743231,742065,734046,5057028
314,2610654,6207978,747125,678299,729407,5076374
315,2600593,6496978,624407,756846,1545673,5792035
316,2552280,6672023,618287,651087,763817,4859518
317,2532056,6226236,622845,640393,716584,4683140
318,2556186,6495329,636047,643392,715004,4986746
319,2654448,6599714,626012,643723,723525,4848933
320,2552123,6416106,620154,643960,728597,4717930
321,2632242,6307542,614798,617728,717846,4758101
322,2543378,6551378,609887,632554,721164,4664797
323,2568170,6334807,622066,647625,942962,4740591
324,2542815,6610670,652210,642657,722144,4626218
325,2639182,6320563,632195,652797,722978,4838718
326,2653335,6420304,616948,628825,714389,4789721
327,2569350,6291236,605331,640119,715969,4727316
328,2618140,6340795,617101,651636,735403,8546261
329,2569254,6141979,615257,628554,731928,5456001
330,2568317,6276445,617141,634418,795351,4846543
331,2529493,6148222,662253,657572,720370,4787545
332,2510494,6159753,635729,653072,723385,4824689
333,2555800,6275975,642583,629199,703629,6477567
334,2544951,6246484,613934,667771,918397,4678519
335,2584805,6260399,611239,635873,732868,4692762
336,2700863,6271594,632503,647486,764405,4649793
337,2630171,6269063,631803,641680,714456,4995453
338,2524014,6296240,634561,633541,721767,4766525
339,2542509,6288258,643759,634005,729696,4854087
340,2534458,6269893,644869,661382,736751,4814860
341,2613022,6266723,630252,643468,790929,4611534
342,2501514,6582371,795403,638652,708935,4883169
343,2558397,6578618,699654,646831,722263,4637016
344,2492616,6650074,614353,642941,710196,4490491
345,2541821,6300555,633071,627523,718874,4566096
346,2639522,6387414,621067,641161,711100,4509023
347,2490655,6197787,608272,622351,717970,4590993
348,2610470,6233819,619416,625074,717012,4521896
349,2679507,6586538,610292,622847,721797,4592976
350,2594687,6582656,620131,641003,720870,4520310
351,2660022,6363579,646364,641653,728382,4611469
352,2594898,6308098,608870,675451,752121,4702732
353,2544710,6246473,636848,733651,713359,4679301
354,2521371,6238471,710955,646793,734171,4669001
355,2655489,6769048,618766,636182,724771,4641532
356,2523561,6206199,640254,633157,718935,4575392
357,2599745,6501206,611280,630932,722965,4557590
358,2570633,6481568,639480,647235,720813,4603121
359,2541588,6473093,640883,654592,714815,4453934
360,2521576,6361714,623311,678457,731756,4682813
361,2659917,6308550,632853,645486,728889,4420801
362,2602152,6320781,617747,652470,720291,4538684
363,2542317,6287534,636471,654513,721429,4466833
364,2584349,6267252,620632,633531,720047,4725209
365,2523147,6139213,608250,646551,717936,4714452
366,2675121,6267291,627425,650301,733684,4724135
367,2526113,6534347,606751,633546,791481,4524128
368,2585035,6268017,637010,638901,726450,4636171
369,2495133,6612348,622065,657601,715344,4385116
370,2669044,6453027,647356,647483,714858,4583436
371,2593609,6514117,606351,628818,715981,4447526
372,2571197,6349375,660276,645687,718143,4697612
373,2553723,6626751,629107,639184,744294,4676862
374,2767158,6298468,628706,642827,731240,4710649
375,2736823,6164859,610499,641201,720086,4886088
376,2574843,6261530,622571,636438,763641,4607589
377,2631070,6302854,603178,655946,731037,4780679
378,2555347,6266947,616284,629986,728901,4552800
379,2498163,6270441,721542,655344,711040,4550382
380,2537138,6244307,621722,649559,740798,4513100
381,2747687,6274609,615638,630114,713721,4530205
382,2833716,6347229,624965,631538,713949,4652085
383,2510513,6989180,610692,627213,715083,4514945
384,2594231,6442502,630396,632537,734398,5205383
385,2545054,6354272,630174,644244,730741,4486796
386,2624554,6199391,636498,665570,716850,4444501
387,2555941,6272224,627090,653287,710470,4444523
388,2660205,6217540,629882,633967,720030,5257214
389,2591381,6223788,612147,644630,725829,4773954
390,2590465,6201051,610406,639111,726794,4450885
391,2526972,6218689,610662,637069,740128,4799155
392,2549453,6219028,622095,666668,740822,4689277
393,2585436,6217309,671376,636770,715460,4481962
394,2532348,6317061,612373,644872,733542,4634294
395,2592907,6279189,618604,654489,730188,4449514
396,2559493,6330094,610458,636698,731883,4730564
397,2564821,6374343,643872,652118,712237,4567562
398,2565627,6393082,627027,646660,709859,4490767
399,2501087,6397603,605706,626376,714044,4424639
400,2628304,6291014,621441,628132,713414,4617677
401,2561296,6199522,608987,631280,724900,4853878
402,2550116,6227845,608641,628001,724396,4677321
403,2507138,6236278,616241,646965,715625,4541139
404,2583791,6177920,621429,642862,717961,4661082
405,2539526,6381924,617201,632114,717609,4338453
406,2560433,6333099,639745,668229,733864,5058420
407,2540262,6310031,621587,625436,728846,4529840
408,2545102,6391927,648742,636266,728248,4349013
409,2512308,6195388,625699,632312,703441,4461681
410,2517003,6199550,624977,631849,756970,4507726
411,3915716,6273730,629829,653440,717205,4521985
412,2605279,6367408,604895,629998,731290,4647418
413,2574528,6237959,619830,642368,716280,4726123
414,2531386,6223341,611318,640511,719163,4615254
415,2580907,6197716,609400,631824,731063,4488427
416,2526566,6298772,624911,646673,807656,4580253
417,2551973,6214769,640784,650006,728268,4768917
418,2846410,6583803,635134,649706,713339,4771320
419,2577218,6301556,643568,654033,752378,4357104
420,2528605,6261861,612592,648649,711709,4601892
421,2553024,6290651,641540,672625,711698,4479760
422,2614516,8309312,638383,675681,728371,5442923
423,2568327,6200626,607756,640930,727791,4541101
424,2553386,6194119,611097,636440,718723,5011579
425,2605460,6453120,644650,643660,719756,4872253
426,2580463,6331466,615003,687760,724168,4750434
