Iteration,UserSide1_ns,BankSide_ns,UserSide2_ns
493,569666,56525,418680
494,570130,57311,421180
495,558131,58715,435111
496,582725,58846,426562
497,557042,58942,427662
498,566793,58619,426713
499,585584,60261,416868
500,560250,58397,422753
501,566558,57532,421974
502,568128,58981,429806
503,558333,58817,463612
504,564449,57067,431920
505,565991,57188,423767
506,567344,61551,425362
507,579322,57861,422330
508,567009,60107,435216
509,560944,59417,428585
510,573042,56398,418444
511,580703,68944,432766
512,566269,59024,426211
513,582619,60405,423875
514,575577,60173,428691
515,582580,56344,425295
516,579682,60343,415572
517,572483,60101,433230
518,568242,59115,421203
519,567131,59005,439173
520,573760,58055,433018
521,574929,61496,426308
522,566807,58897,420266
523,564921,59229,417744
524,557904,58491,429294
525,569522,57289,425078
526,759893,64415,507099
527,708000,114342,442189
528,575629,58765,438188
529,570019,59612,446126
530,653140,60520,427799
531,582283,59293,431744
532,585490,60504,435973
533,585685,57512,428697
534,577918,56890,433921
535,592730,59026,441748
536,574481,57397,431400
537,569836,58436,449162
538,569454,59222,440285
539,721540,63916,430785
540,569007,58531,437339
541,576240,57277,430427
542,572458,57729,708229
543,699518,59058,441849
544,584581,69487,441246
545,585256,58217,436103
546,591829,59776,433481
547,581679,59793,441009
548,597739,57033,431461
549,577986,57494,441150
550,563746,58532,420921
551,578342,61342,430659
552,574536,56022,427730
553,578523,59418,427071
554,573082,59044,435696
555,591337,59507,509722
556,578098,59893,473701
557,585972,66821,433122
558,590076,58863,424790
559,573683,58958,425952
560,560502,57844,428315
561,561800,56673,421333
562,552096,60658,435382
563,586888,58505,437667
564,576264,60635,424566
565,565124,58348,425954
566,558277,57876,440683
567,573414,59187,425348
568,573012,58790,420718
569,585128,58333,424746
570,572008,57670,438539
571,567001,57515,423513
572,572624,58029,436192
573,572928,57498,424315
574,586560,59828,421135
575,568485,67765,427600
576,596616,57672,417736
577,560159,57516,429153
578,563214,57485,417371
579,560874,57381,444536
580,585136,58508,436859
581,710616,65695,433421
582,582526,58922,433247
583,609860,59727,439125
584,577864,58425,548637
585,644410,60026,570833
586,635776,59410,442829
587,598240,60483,424010
588,569036,58752,426076
589,583416,57809,433459
590,578236,58521,427319
591,593777,56981,448935
592,567822,58507,435894
593,582152,58285,434870
594,568012,192601,452031
595,592891,58819,435550
596,581095,59795,432560
597,581426,57390,431431
598,558138,58150,425078
599,577452,59592,433468
600,568049,59411,445013
601,578557,56609,420684
602,569621,58877,434817
603,567788,57370,428080
604,570144,60612,430370
605,576449,57182,425280
606,566895,57147,424637
607,568631,60556,430830
608,582919,60212,432192
609,612736,62137,422641
610,560786,60140,417613
611,576099,59791,420397
612,564650,59335,435984
613,567300,59670,428694
614,724265,64113,433645
615,575808,59798,437622
616,575565,58135,422818
617,573522,63272,432169
618,565973,59172,427591
619,584873,58847,438758
620,571917,59743,430085
621,573168,58594,416993
622,575124,58439,425213
623,583854,59772,424811
624,556014,58784,427871
625,561844,58172,420058
626,568109,57503,422901
627,559541,59317,426888
628,568997,57090,422801
629,652585,69203,521580
630,743355,65898,439127
631,588169,58558,439427
632,580142,58903,439313
633,574025,63818,432378
634,586428,57754,427728
635,581781,58667,425520
636,579943,85130,430227
637,596658,59265,437172
638,585025,57655,437776
639,572958,67035,433875
640,586545,58182,437740
641,570066,59224,436916
642,575747,58459,423360
643,572384,57669,427473
644,570357,56712,419584
645,580430,58351,429191
646,557982,69917,433654
647,570440,58391,424556
648,566551,56991,437847
649,583603,60787,436930
650,574164,59252,435684
651,558138,57809,433457
652,587486,59005,429720
653,562265,56850,428613
654,592116,57657,432479
655,580856,66313,430273
656,571668,57015,427802
657,571470,59065,416408
658,572867,57971,439187
659,570298,58802,457234
660,568909,61456,464939
661,606851,58432,439072
662,580382,58109,477542
663,558810,58759,485602
664,590861,65565,429763
665,583940,62019,436944
666,573348,59369,427211
667,575107,58008,425240
668,584572,58297,446377
669,563322,57720,432931
670,587256,57272,436043
671,588884,58866,429364
672,581212,58456,429535
673,573027,148290,445698
674,618222,63639,628453
675,585514,59069,426499
676,610061,60319,446922
677,591516,59830,437164
678,571572,60058,432251
679,590948,58978,437697
680,631235,60222,430575
681,565956,59235,436085
682,584550,58309,426881
683,588256,58886,430167
684,558823,57843,421799
685,748879,65769,611936
686,1025202,87001,745510
687,618452,58553,436017
688,608874,67379,425560
689,572619,57293,421258
690,571140,59902,433467
691,564198,57577,421871
692,580362,59841,436010
693,584699,60942,432161
694,569608,57870,438769
695,585355,58066,423316
696,579078,57256,428488
697,564012,57371,420862
698,580517,61357,433180
699,562301,57750,425850
700,564940,58708,424512
701,566402,56521,432132
702,628813,61586,427147
703,570916,67617,449845
704,574414,58208,455237
705,571958,59012,423053
706,572211,59059,429514
707,573931,58879,434065
708,586134,61313,419459
709,566098,57486,416268
710,574285,56803,417725
711,556009,57111,424446
712,581233,59813,445891
713,594683,58896,421590
714,580021,59017,424823
715,578494,94174,426876
716,566475,58428,430084
717,575993,58921,438408
718,593700,60276,423361
719,588621,68339,431696
720,579530,58632,429202
721,572925,56444,425234
722,593247,58617,436559
723,603765,57979,427168
724,575655,58119,442087
725,569188,56877,430510
726,582074,58580,425480
727,576377,57683,424942
728,565732,58605,427927
729,581571,64303,451239
730,597508,57637,447840
731,594711,59649,513419
732,579886,82552,435718
733,587230,59714,427598
734,562856,60010,427729
735,574624,58136,425383
736,563661,58715,422363
737,572401,58351,423988
738,561445,58169,436608
739,594234,56861,432978
740,585723,56908,432750
741,580852,60755,474651
742,589602,59352,423064
743,567222,58330,428329
744,558787,58941,425964
745,561804,63932,438966
746,586551,58318,418863
747,574925,58441,423716
748,569778,59411,433785
749,587390,57803,435165
750,589842,62182,435506
751,586499,58458,429219
752,574950,58390,424802
753,577770,55785,415797
754,562106,57997,420616
755,562159,57697,426425
756,564947,58479,423588
757,561975,59312,429295
758,567323,58474,419115
759,561372,58347,429910
760,572777,59974,445286
761,595343,59671,467508
762,571166,58574,422429
763,595017,61806,431183
764,562352,59653,417507
765,578518,58547,418307
766,565565,59611,426510
767,575518,66383,431535
768,566928,56947,434926
769,566114,59059,448386
770,594031,56817,430842
771,569468,59938,422639
772,569323,61402,431621
773,573232,60111,430490
774,571122,56328,428092
775,586473,58484,437823
776,573759,60102,439157
777,560082,57831,438658
778,560611,57444,441018
779,628480,58706,433087
780,578536,59056,434343
781,570300,57166,420554
782,572394,58607,433320
783,573615,58339,419296
784,568688,59441,421599
785,562993,55713,422663
786,568926,59723,428501
787,575903,59845,436700
788,594347,62172,438727
789,578559,59400,425747
790,559088,57644,424135
791,577061,57461,421641
792,572630,57646,437373
793,567038,58942,415951
794,551137,58569,435480
795,568380,57686,424262
796,574367,58686,452170
797,573852,61649,430081
798,637132,63402,428751
799,583656,59334,435075
800,591210,58337,435161
801,1057026,67301,442435
802,565083,60448,425822
803,575320,59177,432716
804,574810,60192,435165
805,556926,56357,420380
806,587966,66109,437067
807,599417,56513,437719
808,571246,58361,439477
809,622958,57560,441264
810,584751,63802,439809
811,585170,60037,424650
812,574235,60812,428161
813,577993,62983,424490
814,583725,56425,419545
815,737842,62881,428747
816,572580,58369,428319
817,569147,58585,430918
818,557311,59601,444816
819,570230,57383,433671
820,564757,60913,420520
821,601663,59467,458422
822,598678,59088,472593
823,581425,61239,425162
824,584328,60476,422632
825,576513,67797,420823
826,581070,58142,421506
827,587178,56779,434421
828,571571,56651,433907
829,567455,56486,619444
830,595516,61764,434297
831,569624,68698,432479
832,581497,58294,424907
833,577870,58212,440958
834,586015,61513,434897
835,580751,58983,514022
836,573712,57925,433809
837,572365,56643,435539
838,588186,60626,451550
839,565811,57589,432797
840,583882,57001,431656
841,561226,55437,428000
842,586205,59370,421481
843,615686,61313,481760
844,570543,61536,436921
845,573318,57534,427171
846,564230,57639,438340
847,581042,57743,439870
848,574744,59412,455944
849,583696,59503,434697
850,569219,61321,419157
851,565581,56783,433239
852,575519,57353,432994
853,582979,58762,419118
854,558157,56961,419257
855,569618,57957,435294
856,573448,57147,437981
857,572046,59555,437877
858,586325,60009,432848
859,566749,58276,419416
860,574402,59064,413948
861,554013,58997,429958
862,565061,57650,433912
863,566756,59157,419242
864,558259,57196,417963
865,579519,57895,439863
866,585075,60887,440710
867,592644,58714,444754
868,585948,57008,442758
869,579956,64706,426934
870,569855,60364,425108
871,689323,60899,457754
872,572284,57366,440483
873,571285,56439,423575
874,558387,57541,434184
875,574429,56944,457064
876,566541,57952,420633
877,562849,58123,439396
878,566986,61215,418871
879,576061,59337,428063
880,570056,57505,424706
881,582881,57249,424755
882,553754,57920,434850
883,563530,58569,427119
884,579028,57344,418346
885,562179,57299,425916
886,573947,56267,421673
887,577493,60423,436615
888,574598,57868,427714
889,572430,57791,427933
890,565496,60327,450111
891,561936,57255,435608
892,594533,60923,454910
893,577693,58880,442714
894,560628,59034,425177
895,561679,72377,424394
896,557403,60758,419481
897,568923,58339,424958
898,572959,57451,429039
899,568252,60885,428068
900,578202,59682,425663
901,566150,57609,424103
902,575005,61381,451059
903,582402,58345,420541
904,569983,58785,424304
905,568766,59044,433991
906,568529,57274,425122
907,567855,71524,425687
908,563600,57455,416697
909,568850,58158,427595
910,571301,56824,432580
911,558699,57891,417946
912,568069,66771,425627
913,571885,58706,461528
914,574487,58384,423710
915,563987,58233,420425
916,577839,59150,426952
917,559146,59316,440786
918,565377,58280,426649
919,583557,58463,431670
920,679478,97668,529310
921,635057,58910,516681
922,638703,59692,463726
923,849408,65454,463958
924,596943,58042,423700
925,600473,124985,524948
926,656574,58616,439745
927,636535,60581,433999
928,581664,57286,438572
929,608630,63316,436033
930,571689,60010,441746
931,580937,58445,429058
932,580240,58426,437064
933,578641,57118,437471
934,577848,59650,424789
935,573560,67334,442671
936,632519,63169,491929
937,575227,57728,428060
938,584679,59669,429816
939,571370,58761,438301
940,572180,56942,428661
941,574223,58013,433681
942,575694,58274,422643
943,575756,59183,427946
944,569041,56521,422134
945,576516,59624,423744
946,622255,64404,475585
947,563091,60597,440611
948,622229,57769,418145
949,561032,59381,419094
950,574837,56951,432693
951,553388,58880,435588
952,576358,59216,429333
953,580243,62190,424981
954,573449,57879,424206
955,577508,59199,452291
956,572472,59699,432494
957,563037,56665,420558
958,560095,60567,429483
959,563526,64551,419673
960,570820,57247,423715
961,560215,58604,421702
962,574517,58270,423447
963,562799,58820,428698
964,574161,58885,440597
965,592904,56935,431643
966,574889,60003,437981
967,583694,57968,421062
968,563295,57395,433394
969,584975,59697,431436
970,589996,59655,428366
971,580224,59975,418810
972,575692,58498,419726
973,572064,59158,432621
974,572798,57425,421566
975,583946,59788,430984
976,567937,56962,423441
977,570677,57181,423161
978,570460,58378,432731
979,573221,58285,423399
980,571185,58336,434179
981,560925,59514,454620
982,577271,60456,433408
983,589720,80055,423133
984,560360,58653,418279
985,592697,61587,426985
986,563665,58662,441986
987,568152,57764,431610
988,574813,59038,431670
989,563841,57448,419655
990,576829,60519,421988
991,560113,58321,414448
992,576942,58630,425524
993,564658,58191,417895
994,577290,57582,441953
995,579228,58501,448151
996,569056,56674,424205
997,564025,58902,437177
998,566093,57174,426192
999,576664,66152,422167
1000,559239,57943,420439
1001,572418,56949,420983
1002,577453,57500,428861
1003,560763,56983,434315
1004,576998,58110,429394
1005,563711,57678,436347
1006,566944,57778,420354
1007,578434,59912,422401
1008,560255,57853,415313
1009,558122,59131,427789
1010,559707,57204,527499
1011,918220,68313,434870
1012,573937,55877,449549
1013,568603,57951,422976
1014,563759,57614,438708
1015,565106,58671,421384
1016,583829,58307,435699
1017,567537,59796,436700
1018,561913,57514,419636
1019,560721,68455,427754
1020,569304,56714,429881
1021,578173,60654,434421
1022,573207,57439,433791
1023,565984,66149,434409
1024,586429,63413,424545
1025,572720,59854,419899
1026,873176,66972,577821
1027,1139835,76487,434468
1028,736303,180182,835704
1029,593137,58725,444774
1030,574049,57994,440984
1031,573514,57379,432535
1032,573936,58802,430362
1033,583017,59870,441401
1034,567411,57656,436609
1035,568907,58204,466378
1036,584287,106083,435088
1037,599116,70843,447699
1038,579655,58066,440203
1039,580046,56509,430128
1040,573279,56925,426687
1041,568158,57811,434982
1042,585238,57934,527395
1043,578944,64484,432623
1044,585193,58226,431159
1045,582432,58900,424458
1046,570415,58176,445526
1047,601884,58587,433435
1048,569404,58541,465608
1049,579894,57091,439625
1050,584250,60060,431016
1051,562351,59222,421175
