Iteration,Payee_ns,Bank_ns
585,2737786,10098628
586,2653096,9958966
587,2635611,10327659
588,2649710,10289693
589,3039895,10428626
590,2624777,10037590
591,2619912,10822570
592,2699867,10174280
593,2693047,9968128
594,2667408,9918539
595,2741403,10043012
596,2664047,10321548
597,2683382,10052535
598,2622203,10156320
599,2681562,10181644
600,2661959,11322452
601,2671137,10454765
602,2660053,10447249
603,2641836,10338762
604,2657016,10091355
605,2677053,10263477
606,2676974,10197455
607,2702801,10153142
608,2636843,10141231
609,2724323,10180343
610,2683268,9976583
611,2748455,9957525
612,2677657,10329289
613,2589737,10090533
614,2653000,10969284
615,2636802,10234228
616,2652762,10613293
617,2641431,10380113
618,2675456,9954337
619,2727951,9802683
620,2643682,15340366
621,2666010,10014980
622,2693542,10246076
623,2660261,9919887
624,2644421,10087753
625,2695825,10306971
626,2739463,10086745
627,2635644,10202164
628,2679006,10152959
629,2617670,11263722
630,2619324,10072658
631,2735263,10835880
632,2663026,10969321
633,2642251,10172248
634,2708105,10093045
635,2658006,9954736
636,2646661,10165438
637,2662191,10127339
638,2687571,12048491
639,3281560,10052019
640,2698201,10130700
641,2638745,10232173
642,2668653,10207105
643,2664481,10074605
644,2695617,9884101
645,2635477,10192817
646,2637668,9989850
647,2672784,10099132
648,2669906,11119519
649,2631150,9930781
650,2703499,10146527
651,2710973,10073377
652,2673517,11536342
653,2681959,10280178
654,2682811,9993180
655,2614087,10098697
656,2620347,10944446
657,2727157,10506879
658,2652472,10480603
659,2725344,10566490
660,2687198,10417085
661,2710543,10259429
662,2665475,10275730
663,2658443,10228313
664,2682923,10295471
665,2715065,10311069
666,2652659,10481110
667,2671411,10105443
668,2685215,10136435
669,2880413,10229440
670,2693277,10262694
671,2675979,10285560
672,2710014,10276917
673,2700228,10429929
674,2684954,10284687
675,2662716,10246049
676,2668965,10352320
677,2723759,10427917
678,2680821,10106154
679,2652192,10200202
680,2669936,9860477
681,2636502,9899884
682,2638074,9984042
683,2656946,9892176
684,2631567,10159356
685,2635164,10259072
686,2657824,10004092
687,2613480,10128018
688,2678776,10067098
689,2680873,10099833
690,2675479,10331789
691,2606853,11957821
692,2645275,10299322
693,2648241,10149451
694,2650227,10030211
695,2636093,17844512
696,2639108,11341851
697,2690361,10182850
698,2643494,12014129
699,2701829,9907719
700,2642543,10168333
701,2647977,10286278
702,2645469,10125291
703,2654941,10156011
704,2640625,10057225
705,2702653,10205804
706,2690283,10084906
707,2594227,10074631
708,2629210,10307508
709,2638830,10033213
710,2673804,10066737
711,2663551,10310855
712,2734491,10715256
713,2633464,10243679
714,2585090,9932533
715,2673155,9991090
716,2637998,9838596
