Iteration,Payee1_ns,Payer_ns,Payee2_ns
366,2111409,5669757,3506433
367,2096263,5611982,3493787
368,2125478,5605704,3459504
369,2118115,5660276,3535085
370,2118280,5633095,3486019
371,2105997,5547906,3445549
372,2127602,5637716,3510183
373,2097536,6232632,3486964
374,2152795,5797013,3427410
375,2108595,5603975,3489869
376,2112109,5584349,3533891
377,2223031,5649766,3546452
378,2234069,5808748,3513655
379,2089903,5592204,3458505
380,2139772,5636303,3490938
381,2095401,5610980,3596102
382,2163059,5748651,3509542
383,2119200,5674242,3486219
384,2142252,5748874,3902052
385,2303558,5727898,3513031
386,2281423,5990446,3562084
387,2151162,5759280,3521226
388,2109071,5676576,3471571
389,2119540,5595765,3467051
390,2111435,5669355,3426370
391,2129878,5637510,3505245
392,2102606,5738351,3551429
393,2163650,5567073,3457962
394,2111069,5637566,3513853
395,2139053,5938160,3489936
396,2125805,5667943,3418102
397,2092992,5717049,3807704
398,2163849,5696065,3573077
399,2309779,5677927,3490954
400,2121494,5702099,3480060
401,2109008,5638583,3459463
402,2130826,5642836,3446822
403,2131847,5604689,3441158
404,2128106,5646390,3500706
405,2099572,5671005,3621649
406,2138329,5555084,3469933
407,2157730,5588990,3475741
408,2110716,5664674,3454276
409,2124866,5609393,3419432
410,2125965,5560337,3475937
411,2124890,5639017,3828665
412,2236993,6522220,3481898
413,2219514,5647009,3476308
414,2127541,5585145,3467161
415,2252077,5563927,3506015
416,2087535,5734142,3524225
417,2165373,5718812,3595225
418,2154084,5690910,3508734
419,2111190,5673573,3596407
420,2138223,5804454,3489157
421,2122843,5635703,3725143
422,2131940,5555533,3448709
423,2267783,5800216,3471411
424,2113337,5633699,3456800
425,2120320,5697627,3515007
426,2124381,5598301,3430408
427,2218712,5634388,3528105
428,2125775,5830122,3487896
429,2135352,5755581,3492057
430,2201863,5647291,3568339
431,2134923,5611447,3484900
432,2103174,5670197,3483269
433,2127421,5660667,3455852
434,2152745,5777394,3628352
435,2142063,5628031,3420901
436,2331010,5742828,3529425
437,2206152,6286487,3615536
438,2141631,5764119,3461293
439,2138471,5600693,3510113
440,2123485,5613680,3452982
441,2142801,5658094,3437259
442,2099049,5632973,3464208
443,2163355,5721421,3607541
444,2150646,5593848,3474723
445,2115655,5682310,3519670
446,2173410,5904460,3567413
447,2149992,5672686,3531693
448,2117121,5806563,3485848
449,2103056,5602745,3491361
450,2177430,5729447,3489973
451,2123028,5645754,3664480
452,2271387,6089128,3603557
453,2561281,6017257,3868434
454,2136311,5761520,3562105
455,2179546,6026549,3430433
456,2163859,6029021,3664432
457,2282024,5632209,3446030
458,2115027,5893752,3606603
459,2176943,5980898,3584408
460,2358412,5835380,3531228
461,2210233,6255007,3475750
462,2371914,5628109,3626140
463,2169200,5772235,3585140
464,2163098,5680057,3732840
465,2345951,5718228,3644623
466,2156516,5691043,3797840
467,2189832,5820005,3608755
468,2375315,5751864,3489561
469,2147652,5651670,4453441
470,2826464,5965787,3557693
471,2128540,5881096,3539025
472,2131385,5865797,3538388
473,2212360,5725073,3538938
474,2199288,5724762,3550265
475,2132139,5559048,3505985
476,2093813,5627295,3479621
477,2076443,5867027,3487747
478,2119263,5662733,3538853
479,2143416,5727717,3461208
480,2145097,5581292,3504888
481,2121254,5578281,3464837
482,2120312,5566732,3728897
483,2109636,5693819,3514393
484,2131548,5563696,3469330
485,2090387,5580987,3585017
486,2161731,5682732,3561897
487,2112186,5685912,3477820
488,2119110,5950300,3439149
489,2197525,5645746,3468280
490,2141264,5550803,3521983
491,2196894,5737537,3571624
492,2162790,5770135,3632567
493,2193408,5755512,3554844
494,2122860,5653001,3515982
495,2112699,5620618,3502587
496,2148029,5602410,3485890
497,2110273,5607373,3517130
498,2090235,5644588,3627653
499,2137894,5730433,3614068
500,2236156,5661590,3528510
501,2146142,5674300,3458438
502,2164392,5743822,3578762
503,2191493,5599832,3581278
504,2129177,5609309,3484541
505,2132288,5654112,3446438
506,2126763,5586375,3664708
507,2112302,5609997,3454325
508,2261958,5589525,3452419
509,2115127,6011790,3458651
510,2085172,5563682,3489041
511,2238615,5639712,3457030
512,2178275,5712845,3498221
513,2082810,5590428,3479126
514,2093962,5698438,3508705
515,2139368,5661642,3641610
516,2157035,5706964,3423636
517,2152440,5707888,3540008
518,2153602,5660804,3479223
519,2152553,5585949,3595376
520,2120725,5563206,3506744
521,2115034,5733760,3489775
522,2132970,5614042,3459482
523,2213606,5659545,3536996
524,2157917,5606470,3504398
525,2113396,5832774,3507620
526,2092250,5872896,3445504
