Iteration,Payee1_ns,Bank1_ns,Payee2_ns,Bank2_ns,Payee3_ns
390,1964382,8046042,658242,666214,459774
391,1919888,7765912,628854,641963,447732
392,1964488,8222471,663894,656077,602809
393,1962881,9234849,658507,644182,457744
394,1967642,7885059,651808,647868,460434
395,1923667,8145005,656332,639916,451822
396,1969322,7948298,660143,657138,469823
397,1922353,7772375,794322,656975,448263
398,2009293,7987966,642044,645891,470981
399,1994725,7835481,664984,646173,471621
400,1932073,8026051,645500,694567,460274
401,1939451,8138959,649993,645792,463422
402,1928389,7902016,647510,693110,467730
403,1984981,7827323,637521,655708,451464
404,1997899,8306140,650864,672422,457826
405,1916007,8219368,642663,642803,459405
406,1911815,7940213,636561,669908,455540
407,1927033,8296044,629786,632585,462450
408,1936134,8189315,653940,667880,469422
409,2053532,8086293,651295,637399,487058
410,1909939,11855208,653588,650043,472152
411,2013165,8178920,711623,763376,495773
412,2109317,8250693,650539,647923,554310
413,1957634,9633988,669710,666383,467361
414,1934304,8290206,681745,662742,451761
415,2093138,8349855,665493,668187,459402
416,1924290,8257343,644773,661906,474901
417,1967112,8826603,658874,647222,456595
418,1980916,8085635,669138,668545,459247
419,1935437,9086418,651533,661488,460719
420,1956080,11654427,666434,649260,466319
421,1897079,8632310,1270223,671129,493425
422,1973375,8357463,670852,667191,580786
423,2304165,8128570,680647,672252,471819
424,2235088,8147060,668500,659381,471845
425,1935998,8157157,648874,649212,459160
426,1960999,9084490,654220,657209,463814
427,1921851,7954205,676235,669780,472400
428,1977524,7972093,658832,662064,511192
429,2448845,7959227,666517,671963,467360
430,1945243,7906528,629293,648045,463307
431,1935241,8086389,653385,680262,456890
432,1920332,7935809,653378,655000,469235
433,1927494,7872390,636135,644282,458954
434,2119231,8308574,688269,676245,469078
435,1947899,8365742,702700,703030,455019
436,1969426,11245687,661695,655806,461239
437,1966166,8194456,629354,655872,474878
438,2017704,8484020,686233,649831,474098
439,1969033,7961976,661537,650393,476338
440,1942310,7990674,655490,659158,466653
441,1960762,8038828,645490,660446,469203
442,1950229,8018606,638668,637259,463168
443,1988325,8230391,689211,672231,466415
444,1956010,7772410,621286,630544,468031
445,1957241,7895302,658767,663134,454760
446,2059170,8185939,658205,657642,463485
447,1924445,8167144,636986,742113,484600
448,2055749,7971135,649462,677964,503663
449,1938490,8123604,650540,668722,468312
450,1950637,7935845,659051,680957,470081
451,1962823,8918504,645520,646652,468355
452,1968561,9956055,723074,701173,561335
453,2072099,8776219,644470,637440,459259
454,1886501,8319311,656423,660407,466837
455,1951100,12020825,712780,721768,457075
456,1927124,8440323,701820,823432,459282
457,1956237,7944386,623702,740142,470335
458,2198083,8295511,646155,635997,477868
459,1924402,8220469,655827,644623,469179
460,1923158,8347385,660413,644354,477874
461,1916700,7977635,758667,656713,668299
462,1989079,8045502,631609,899328,482490
463,1952129,9059522,644692,645043,464005
464,2167127,8774681,675398,680894,470677
465,1959074,10215211,723149,672657,481234
466,1966007,8984904,653984,712652,599436
467,2209167,8366226,660798,667778,566508
468,2224992,8509350,657958,652751,466611
469,1965523,10154515,678778,652098,487368
470,1961243,8823664,663765,737862,498964
471,1964584,8297842,677105,656316,464243
472,1937253,8363013,666323,650460,468796
473,2304853,8550429,645585,639857,464302
474,1950218,8689005,676957,653466,464529
475,1946057,8999425,1532595,697838,449622
476,1934584,8498570,741862,762389,471380
477,1938964,8256280,639182,645902,463169
478,1936314,8627570,659732,648150,471445
479,1938019,8270567,676227,736235,467084
480,1947611,9450477,801175,729557,451848
481,1963472,9363524,687869,784796,456548
482,2145144,8123604,647195,653702,470583
483,2205733,8411925,655276,644096,467138
484,1927773,8569634,719613,679874,471034
485,1954017,8209325,682742,670951,464429
486,1948699,8142717,641118,647766,508563
487,2074096,8587195,659256,659791,465733
488,1949550,8622338,648292,632661,463065
489,1913787,9873320,656012,685907,468491
490,1947493,8358374,667461,659095,473274
491,5281753,11055673,1552045,1570762,1110878
492,3681636,10007927,925327,925611,609265
493,1939015,9679397,708786,628456,471267
494,2033818,8190337,688660,691461,471354
495,1961649,8170135,677527,674254,472834
496,1914056,8401525,657743,675853,467661
497,1938050,8542287,660056,647185,470587
498,1943271,8149173,659257,650920,467342
499,2048191,8177370,642171,651243,466011
