Iteration,Payee1_ns,Bank1_ns
559,521872,3076415
560,530540,3160025
561,549407,3066378
562,598202,3108191
563,555742,3073270
564,544864,3106993
565,568457,3087372
566,561715,3066649
567,536879,3249315
568,695700,5610873
569,992291,5338364
570,987420,5141423
571,552431,3101251
572,547953,3094451
573,536460,3058474
574,543409,3120348
575,531749,3083118
576,548715,3164908
577,544900,3062233
578,536602,3097799
579,577783,3119592
580,546392,3071230
581,534529,3059135
582,534397,3074215
583,539614,3032383
584,536236,3108504
585,540311,3011982
586,540091,3036064
587,542149,3285817
588,556048,3034758
589,539951,3019294
590,602376,3123046
591,553142,3071220
592,542804,3078150
593,526049,3041684
594,534916,3007065
595,528382,3055023
596,533711,3078353
597,525067,3108153
598,550128,3028411
599,688965,3009297
600,562023,3029034
601,540976,3028466
602,540261,3037815
603,531392,3021566
604,542925,3074894
605,538848,3068733
606,540447,3048808
607,545716,3121437
608,569421,3111850
609,624706,3169266
610,545687,3096055
611,553031,3090803
612,549035,3085270
613,553368,3017716
614,552159,3064079
615,546557,3067501
616,539680,3050109
617,539323,3059897
618,530742,3048816
619,531922,3033919
620,537138,3042698
621,534594,3058188
622,534742,3069044
623,535282,3047524
624,544632,3107279
625,543204,3060465
626,541816,3063027
627,540227,3122398
628,548662,3090873
629,536301,3051916
630,524631,3014856
631,529572,3088317
632,571946,3077209
633,533960,3093661
634,540316,3036093
635,539784,3003902
636,552403,3039920
637,536516,3050911
638,540297,3035499
639,545875,3074057
640,528432,3039892
641,540617,3038458
642,555958,3084009
643,531820,3095334
644,550919,3041920
645,541668,3075196
646,546083,3009177
647,537675,3106802
648,537163,3050316
649,539042,3026030
650,539327,3054410
651,540467,3107174
652,544579,3030513
653,544645,3013324
654,532991,3066576
655,579353,3062818
656,557821,3045183
657,526469,3065179
658,540122,3038722
659,526807,3050470
660,534680,3069478
661,555897,3095507
662,546749,3076681
663,538491,3059337
664,550856,3045822
665,537097,3076688
666,539994,3059016
667,552859,3030104
668,534397,3098445
669,536970,3211757
670,566452,3058254
671,542255,3084953
672,532566,3014437
673,551276,3131027
674,549433,3077961
675,534360,3100932
676,537062,3136078
677,548019,3056747
678,553228,3038008
679,532782,3117787
680,536255,3016893
681,539101,3195845
682,571341,3058039
683,550944,3049503
684,549769,3038273
685,549540,3057742
686,533994,3019257
687,536074,3107291
688,555704,3089444
689,537344,3023413
690,523878,3116022
691,560079,3114775
692,549425,3078267
693,544732,3031753
694,536876,3161805
695,561997,3183883
696,571761,3145132
697,542016,3231582
698,559076,3110508
699,553347,3072787
700,531703,3079182
701,567576,3218626
702,578129,3134292
703,563123,3119846
704,549847,3099944
705,555721,3124339
706,606920,3151930
707,552611,3069541
708,543473,3152041
709,549939,3032147
710,542447,3258844
711,542429,3162099
712,551031,3082766
713,548694,3059993
714,538009,3440035
715,567692,3234732
716,637757,3232784
717,560266,3063957
718,602537,3203379
719,551013,3128954
720,554438,3060830
721,602817,3115572
722,592376,3175147
723,683649,3195134
724,558408,3101243
725,546883,3106188
726,575699,3116937
727,528647,3155041
728,563658,3046648
729,540195,3022063
730,550523,3077908
731,547139,3078685
732,577468,3325535
733,550350,3029585
734,536657,3097624
735,540030,3086952
736,615905,3071215
737,568478,3093139
738,559560,3111083
739,537022,3139994
740,551715,3277773
741,554717,3073440
742,537930,3110592
743,533781,3072308
744,553243,3158855
745,728346,3246629
746,559084,3121782
747,554417,3053999
748,545611,3060713
749,640280,3435404
750,547912,3126719
751,534559,3136859
752,536137,3045862
753,560072,3387320
754,555314,3251994
755,577481,3121693
756,555468,3086111
757,546019,3289408
758,564855,3442262
759,620119,3129809
760,552869,3062936
761,545635,3066419
762,556915,3175847
763,558197,3059144
764,547242,3048023
765,549992,3140260
766,552049,3363692
767,556878,3058542
768,550922,3133058
769,538533,3065329
770,529239,3202275
771,544157,3111196
772,546838,3053847
773,591458,3121632
774,541817,3212998
775,573818,3340381
776,604553,3065662
777,537488,3068180
778,540475,3057633
779,677932,3107785
780,568611,3135548
781,555688,3101200
782,543076,3095460
783,534199,3131666
784,565447,3067034
785,550285,3100419
786,569885,3154305
787,558812,3248495
788,664129,3168262
789,540789,3053160
790,544695,3067136
791,544398,3140837
792,547019,3299112
793,537815,3063682
794,545997,3042874
795,579146,3064339
796,541391,3253312
797,559338,3088976
798,548011,3091922
799,542763,3060923
800,545773,3120943
801,584784,3248284
802,580094,3169110
803,575463,3112380
804,580127,3116297
805,564735,3124525
806,541143,3072023
807,540416,3052277
808,542873,3039535
809,534891,3106092
810,547507,3073920
811,550252,3093198
812,593036,3043158
813,552047,3109851
814,566274,3137669
815,542724,3046585
816,569887,3021564
817,536018,3042708
818,552459,3408419
819,540584,3098701
820,542348,3061508
821,535580,3039210
822,531759,3527547
823,558104,3077364
824,527649,3094517
825,553322,3019005
826,537744,3425105
827,560784,3284188
828,567684,3137641
829,544702,3060202
830,526168,3018190
831,559892,3152788
832,543398,3083094
833,550469,3078322
834,534899,3005190
835,536571,3128869
836,695842,3090242
837,528142,3039257
838,550865,3068528
839,529077,3011472
840,545681,3068123
841,531267,3062877
842,542285,3057839
843,546289,3078453
844,535592,3076220
845,540281,3040971
846,542245,3026138
847,544897,3041070
848,540380,3051600
849,526628,3021480
850,546494,3056351
851,533415,3033425
852,534580,3069631
853,541282,3017409
854,546553,3008996
855,539786,3118184
856,535824,3012266
857,554318,3139284
858,573742,3068540
859,550081,3199414
860,567003,3073213
861,549650,3179711
862,578018,3041471
863,541025,3078596
864,551398,3065608
865,527832,3020995
866,521734,3151992
867,551520,3218250
868,543152,3004048
869,561767,3036638
870,531343,3155207
871,550086,3116274
872,557944,3067098
873,617910,3070628
874,556904,3228320
875,550031,3281054
876,551828,3068501
877,554854,3059723
878,526682,3092444
879,537645,3396591
880,540736,3031331
881,548943,3040058
882,537968,3072206
883,537540,3301621
884,608792,3038554
885,545219,3206958
886,561405,3058290
887,549200,3082403
888,638995,3070716
889,542307,3085527
890,545082,3089796
891,543472,3023451
892,535305,3026455
893,542133,3073866
894,543182,3059684
895,547989,3003566
896,534649,3119231
897,679333,3115319
898,554713,3063155
899,534547,3026813
900,528840,3092456
901,662368,3394514
902,547540,3058977
903,545067,3046657
904,524843,3026175
905,532623,3309466
906,556508,3135247
907,551042,3142031
908,535905,3055532
909,537719,3215008
910,662702,3187182
911,552749,3073538
912,542655,3086023
913,553068,3156220
914,652187,3292166
915,555374,3060699
916,549073,3110312
917,530222,3094064
918,554499,3374904
919,538051,3058610
920,539874,3057058
921,545325,3236194
922,558770,3168647
923,560372,3093789
924,541433,3086811
925,540780,3105152
926,549427,3169597
927,714905,3114068
928,551208,3065120
929,548429,3078069
930,547810,3045839
931,550831,3138125
932,561784,3084122
933,552450,3044056
934,533777,3101634
935,553721,3062784
936,560590,3071999
937,562090,3039578
938,549297,3130565
939,551297,3103862
940,615099,3109003
941,555307,3068820
942,544402,3082418
943,558131,3026990
944,533222,3108229
945,546701,3157538
946,545093,3081687
947,552171,3052337
948,566049,3043415
949,567078,3034699
950,543204,3126482
951,564031,3092050
952,547473,3040073
953,530777,3194173
954,541969,3128593
955,551178,3087618
956,545948,3032758
957,539964,3096472
958,549910,3028107
959,539899,3080365
960,544135,3060157
961,580411,3085128
962,578887,3102426
963,589094,3070578
964,551992,3084845
965,540918,3064615
966,544556,3056109
967,550529,3159261
968,536971,3130074
969,536649,3021279
970,547029,3327574
971,578175,3073976
972,543183,3084565
973,540968,3056572
974,535377,3079011
975,558053,3304621
976,568267,3172902
977,549231,3032278
978,558581,3070096
979,540307,3409434
980,565627,3117694
981,548316,3073666
982,541415,3102128
983,561177,3254171
984,561145,3119853
985,540846,3049790
986,552832,3042092
987,534922,3091592
988,706684,3385886
989,556826,3088147
990,552768,3076531
991,542779,3106506
992,547008,3464934
993,574846,3159790
994,563921,3092989
995,548571,3100806
996,541899,3320016
997,546151,3039758
998,536084,3056961
999,547690,3224185
1000,600314,3200204
1001,552707,3067261
1002,559969,3201170
1003,570931,3132151
1004,543805,3043807
1005,629261,3122173
1006,562110,3050585
1007,548552,3123487
1008,542856,3017766
1009,546551,3060838
1010,549465,3083346
1011,549055,3079469
1012,543936,3069736
1013,537692,3041380
1014,543499,3038341
1015,537256,3170860
1016,561254,3118954
1017,555225,3046670
1018,566218,3063689
1019,558037,3976593
1020,1225751,3069853
1021,554531,3109949
1022,542121,3028747
1023,534679,3088358
1024,578219,2991958
1025,526406,3088523
1026,549846,3061745
1027,546183,3073709
1028,547165,3027310
1029,542340,3034075
1030,537186,3095938
1031,559160,3105328
1032,536741,3055565
1033,533092,3046027
1034,550385,3011701
1035,538826,3122422
1036,573984,3140740
1037,557048,3156879
1038,576987,3168538
1039,538693,3136692
1040,553389,3105350
1041,552249,3091905
1042,546072,3061916
1043,554194,3069396
1044,533729,3097938
1045,543401,3048685
1046,544101,3065762
1047,557272,3041261
1048,526603,3129417
1049,546304,3022800
1050,537216,3058332
1051,546100,3074291
1052,551410,3104623
1053,540567,3049793
1054,537167,3103158
1055,550282,3057200
1056,543965,3086611
1057,545696,3023600
1058,552448,3032020
1059,538235,3047801
1060,530787,3317647
1061,564112,3453112
1062,562920,3165283
1063,545711,3059869
1064,555312,3092722
1065,553349,3061373
1066,556714,3124887
1067,542686,3082483
1068,542012,3150350
1069,565007,3073598
1070,536239,3123904
1071,545154,3042548
1072,547009,3183212
1073,540903,3082907
1074,535618,3141639
1075,550131,3133954
1076,556624,3105913
1077,550838,3122512
1078,530557,3092766
1079,536383,3044678
1080,523752,3069021
1081,547845,3056334
1082,541633,3102650
1083,555221,3050809
1084,552871,3227888
1085,555118,3049174
1086,543904,3093725
1087,533806,3094916
1088,533012,3043996
1089,540943,3073817
1090,541699,3035500
1091,544382,3069727
1092,542336,3041927
1093,576499,3174331
1094,583156,3045585
1095,531292,3088947
1096,543837,3041370
1097,539730,3319684
1098,561699,3069333
1099,560323,3052254
1100,560503,3034159
1101,534966,3245484
1102,552160,3043425
1103,554096,3100292
1104,603862,3136882
1105,554994,3452232
1106,554877,3236839
1107,547406,3111479
1108,565335,3144781
1109,624035,3115420
1110,546737,3129551
1111,564602,3133840
1112,553953,3187598
1113,678365,3185533
1114,561673,3158177
1115,583357,3087419
1116,545623,3189053
1117,553965,3229837
1118,591920,3028424
1119,538750,3248896
1120,571130,3110986
1121,580855,3139538
1122,551967,3109582
1123,556132,3081089
1124,541176,3145882
1125,594369,3144899
1126,545136,3038049
1127,543959,3141866
1128,558066,3080175
1129,559869,3197529
1130,563889,3178227
1131,551388,3060918
1132,561276,3114057
1133,559671,3227454
1134,559687,3100543
